prediction	path	correct_label
 The tower originally called Portsmouth Millennium Tower was renamed Spinnaker Tower.	en_test_0/common_voice_en_27016500.mp3	The tower, originally called Portsmouth Millennium Tower, was renamed Spinnaker Tower.
 He attended the Beach Party and the Cruz concert.	en_test_0/common_voice_en_28925131.mp3	He attended the beach party and the cruise concert.
 The exercise is the largest civil emergency exercise ever staged in the country.	en_test_0/common_voice_en_26952601.mp3	The exercise is the largest civil emergency exercise ever staged in the country.
 The railway bridge still exists.	en_test_0/common_voice_en_32678220.mp3	The railway bridge still exists.
 The curse lacks owned much of the surrounding land as well as the menor house.	en_test_0/common_voice_en_26954270.mp3	The Kerslakes owned much of the surrounding land as well as the manor house.
 Nothing is known about them beyond what can be inferred from their titles.	en_test_0/common_voice_en_32640967.mp3	Nothing is known about them beyond what can be inferred from their titles.
 He paused for a moment to see if the woman knew what the Egyptian pyramids were.	en_test_0/common_voice_en_512585.mp3	He paused for a moment to see if the woman knew what the Egyptian pyramids were.
 It's led to her first magazine cover for British folk.	en_test_0/common_voice_en_31928562.mp3	"It led to her first magazine cover for British ""Vogue""."
 Alternative live reduced price are available to the students and staff.	en_test_0/common_voice_en_25753318.mp3	Alternatively, reduced prices are available to students and staff.
 Fatima is a woman of the desert. Set the alchemist.	en_test_0/common_voice_en_162295.mp3	Fatima is a woman of the desert, said the alchemist.
 There are two gyms and an indoor pool.	en_test_0/common_voice_en_22975991.mp3	There are two gyms and an indoor pool.
 Please, in turn, are the month, personal time, in the profession.	en_test_0/common_voice_en_25854052.mp3	He is interred at the Mount Hope Cemetery in Topeka.
 He attended high school at the Arts and Communication Magnet Academy in Beaverton, Oregon.	en_test_0/common_voice_en_19189231.mp3	He attended high school at the Arts and Communication Magnet Academy, in Beaverton, Oregon.
 It's lucky you got away from her.	en_test_0/common_voice_en_576017.mp3	It's lucky you got away from her.
 The boy could certainly resist causing that kind of anxiety for the baby.	en_test_0/common_voice_en_83205.mp3	The boy could certainly resist causing that kind of anxiety for the baker.
 Likewise, the satellite locations are known with great precision.	en_test_0/common_voice_en_24950109.mp3	Likewise, the satellite locations are known with great precision.
 To the south side of Deusbury Road, there are significant areas of industrial premises.	en_test_0/common_voice_en_25647379.mp3	To the south side of Dewsbury Road, there are significant areas of industrial premises.
 Working as a journalist and spending time with like-minded people, brewed under his horizons.	en_test_0/common_voice_en_21557343.mp3	Working as a journalist and spending time with like-minded people broadened his horizons.
 Progress towards the target is measured by six indicators.	en_test_0/common_voice_en_30706187.mp3	Progress towards the targets is measured by six indicators.
 rather than later come and become degraded, access was restricted even further.	en_test_0/common_voice_en_26746245.mp3	Thus rather than let a common become degraded, access was restricted even further.
 An inscription to a pointer from mine's generally identifies the dedicated as Syrian.	en_test_0/common_voice_en_20580054.mp3	An inscription to Epona from Mainz, Germany, identifies the dedicator as Syrian.
 Do you want to go work for me? The merchant asked.	en_test_0/common_voice_en_129082.mp3	Do you want to go to work for me? the merchant asked.
 She offered to raise the phones and supervise the construction of the hospital.	en_test_0/common_voice_en_19212042.mp3	She offered to raise the funds and supervise construction of the hospital.
 It was more than I could see for myself.	en_test_0/common_voice_en_18434849.mp3	It was more than I could say for myself.
 Goons attack the spectators and strip Kabullen naked on stage.	en_test_0/common_voice_en_31736386.mp3	Goons attack the spectators and strip Kabilan naked on stage.
 This is created by the French company Cometa.	en_test_0/common_voice_en_28097664.mp3	This was created by the French company Cameca.
 The scientific evidence was then sent to Joan Wood for review.	en_test_0/common_voice_en_20848528.mp3	This scientific evidence was then sent to Joan Wood for review.
 They will then mourn Oli Askars' infant death at Carbala.	en_test_0/common_voice_en_35408041.mp3	They will then mourn Ali Asghar's infant death at Karbala.
 The player use soft mallets for indoor performance, hard ones for hard doors.	en_test_0/common_voice_en_25651296.mp3	The player uses soft mallets for indoor performance, hard ones for outdoors.
