prediction	path	correct_label
 Hansen was born in Victoria, Australia, and was educated at the Mezzanote College.	en_test_0/common_voice_en_19469330.mp3	Hansen was born in Victoria, Australia and was educated at Mazenod College.
 Wondrous is the strength of cheerfulness.	en_test_0/common_voice_en_8511.mp3	Wondrous is the strength of cheerfulness.
 Love is the force that transforms and improves the soul of the world.	en_test_0/common_voice_en_648431.mp3	Love is the force that transforms and improves the Soul of the World.
 Use the head coach at Swarthmore.	en_test_0/common_voice_en_32768557.mp3	He is the head coach at Swarthmore.
 other financial institutions are involved in the national field.	en_test_0/common_voice_en_21261870.mp3	Other financial institutions throughout the nation quickly followed suit.
 She was buried in her hometown Napa cemetery in Napa, Montana.	en_test_0/common_voice_en_23675535.mp3	She was buried in her hometown in the Neepawa Cemetery, Neepawa, Manitoba.
 Race heart attack, may help later role in this.	en_test_0/common_voice_en_24831087.mp3	Ray's heart attack may have played a role in this.
 Tatamu's started is to be preferred to English for this house.	en_test_0/common_voice_en_26284697.mp3	Tartar-mustard is to be preferred to English for this sauce.
 Most episodes are also available for free via YouTube.	en_test_0/common_voice_en_21281990.mp3	Most episodes are also available, for free, via YouTube.
 One of these man is eaten to lick.	en_test_0/common_voice_en_31383245.mp3	One of these men is Ethan Tilling.
 I want to see him do it, to achieve.	en_test_0/common_voice_en_116070.mp3	I want to see him do it, said the chief.
 Slow-tango originally appeared in the Wim Wendrous film Farway, so close.	en_test_0/common_voice_en_19046656.mp3	"Slow Tango originally appeared in the Wim Wenders film ""Faraway, So Close!"
 The correct heir is shown as a veteran soldier who is still a father at the town.	en_test_0/common_voice_en_19893615.mp3	The character is shown as a veteran soldier who is still father of Teela.
 On Draxade, archaeologists have located grieve mounds.	en_test_0/common_voice_en_18802557.mp3	On Dragseid archaeologists have located grave mounds.
 You are both in them and both in possible.	en_test_0/common_voice_en_21101696.mp3	She was born in Miami and raised in Houston.
 Martin Luther King Jr. was an American civil rights leader.	en_test_0/common_voice_en_532457.mp3	Martin Luther King Jr. was an an American civil rights leader.
 Can you remember anything at all?	en_test_0/common_voice_en_651174.mp3	Can you remember anything at all?
 What time was it?	en_test_0/common_voice_en_17262586.mp3	What time was it?
 The boy climbed the dune slowly.	en_test_0/common_voice_en_87507.mp3	The boy climbed the dune slowly.
 Later drummers include Adik Thompson, Tim Hutten en Joseph Porter.	en_test_0/common_voice_en_26963806.mp3	Later drummers included Adie Tompkins, Tim Hutton and Joseph Porter.
 The alchemist removed the pan from the fire and set it aside to cool.	en_test_0/common_voice_en_533749.mp3	The alchemist removed the pan from the fire, and set it aside to cool.
 Mae yng Nghymru yn fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dredd sy'n fwy'n dred	en_test_0/common_voice_en_626317.mp3	A young woman with purple dreads hulahoops while wearing furry purple legwarmers and hot blue Nikes.
 Maria, Severe, honor of the Freyama, is of the mission in Father's Son today.	en_test_0/common_voice_en_22754639.mp3	Maria Severa Onofriana is often mentioned in fado songs today.
 Dutzi earned 10 Academy Awards nominations including Hoffman's fifth nomination.	en_test_0/common_voice_en_26942823.mp3	Tootsie earned ten Academy Award nominations, including Hoffman's fifth nomination.
 Want to give my flower a drink?	en_test_0/common_voice_en_598441.mp3	Want to give my flower a drink.
 It sounded like a gypsy prayer.	en_test_0/common_voice_en_103496.mp3	It sounded like a Gypsy prayer.
 Saint Govain's financial performance was adversely affected by the economic and petrol crisis.	en_test_0/common_voice_en_20270315.mp3	Saint-Gobain's financial performance was adversely affected by the economic and petrol crisis.
 The military will adhere to international laws and standards.	en_test_0/common_voice_en_18328593.mp3	The Military will adhere to international laws and standards.
 It was no more exciting than overturned carriage or a tree blown across the road.	en_test_0/common_voice_en_96387.mp3	It was no more exciting than an overturned carriage or a tree blown across the road.
 It was there that Clarence learned the trade of house carpentry.	en_test_0/common_voice_en_32639095.mp3	It was there that Clarence learned the trade of house carpentry.
